N,107,1-005,DG,3302,,,TML-MOLAX,TML-MOLAX,Dentate gyrus TML-MOLA3302 cell,MOLAX,1,0,3,,,"toal molecular layer, molecular layer directed axons",I,0,"Stratum Granulare (3795, 611325, 612391, 612392, 612394, 612395)",1,0,TML-MOLAcitations,axons,"3795, 611321, 611325, 612391, 612394, 612395","3795, 611321, 611325, 612391, 612394, 612395",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,107,1-005,DG,3302,,,TML-MOLAX,TML-MOLAX,Dentate gyrus TML-MOLA3302 cell,MOLAX,1,0,3,,,"toal molecular layer, molecular layer directed axons",I,0,"Stratum Granulare (3795, 611325, 612391, 612392, 612394, 612395)",1,0,TML-MOLAcitations,dendrites,"3795,  611325, 612391, 612393, 612394, 612395","3795,  611325, 612391, 612393, 612394, 612395",,"3795,  611325, 612391, 612394, 612395",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,108,1-024,DG,3300,,,VIP-SM,VIP-SM,,,-0.5,1,3,,,,I,0,,0,0,,axons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,108,1-024,DG,3300,,,VIP-SM,VIP-SM,,,-0.5,1,3,,,,I,0,,0,0,,dendrites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,109,1-006,DG,3222,,,OML,OML,DG outer molecular layer cell,Outer molecular,2,1,3,,,outer molecular layer,I,0,stratum granulosum (611324),1,0,OML citations,axons,"611320, 611324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,109,1-006,DG,3222,,,OML,OML,DG outer molecular layer cell,Outer molecular,2,1,3,,,outer molecular layer,I,0,stratum granulosum (611324),1,1,OML citations,dendrites,"611320, 611324","611320, 611324",611324,"611320, 611324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,110,1-016,DG,3100,p,CA1 3000,IS-1,IS-1,,,-0.5,1,3,,,,I,0,,0,0,,axons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,110,1-016,DG,3100,p,CA1 3000,IS-1,IS-1,,,-0.5,1,3,,,,I,0,,0,0,,dendrites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,111,1-007,DG,3000,p,SUB 100,neurogliaform,NGF,Dentate gyrus neurogliaform 3000 cell,Neurogliaform,2,1,3,,,,I,0,"Stratum moleculare outer (612052, 612053, 612054, 612055)",0,0,neuroglilaform citations,axons,"612051, 612053, 612054, 612055",,,,,,,,,,,,,,,,,612054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,111,1-007,DG,3000,p,SUB 100,neurogliaform,NGF,Dentate gyrus neurogliaform 3000 cell,Neurogliaform,2,1,3,,,,I,0,"Stratum moleculare outer (612052, 612053, 612054, 612055)",0,0,neuroglilaform citations,dendrites,"612051, 612052, 612053, 612054, 612055",,"""-612052""","""-612052""","""-612052""","""-612052""","""-612052""","""-612052""","""-612052""","""-612052""","""-612052""","""-612052""","""-612052""","""-612052""","""-612052""","""-612052""","""-612052""","""-612052""","""-612052""","""-612052""","""-612052""","""-612052""","""-612052""","""-612052""","""-612052""","""-612052""",,,,,,,,,,,,,,,,,,,,,,,,,,
N,112,1-008,DG,3000,,,MOPP-NGF,MOPP-NGF,Dentate gyrus MOPP-neurogliaform cell,MOPP,1,0,3,,,molecular layer perforant path-associated--neurogliaform cell,I,0,"outer stratum moleculare (3786, 611666, 611902, 612052, 612053, 612054, 612055, 612422) / inner stratum moleculare (1412, 3786, 611225, 611231, 611674, 611860, 611862, 611996, 612024, 612277, 612422)",0,0,MOPP-NGF citations,axons,"372, 423, 3786,  611226, 611231, 611233, 611236, 611384, 611390, 611666, 611674, 611860, 611862, 611902, 611904, 612053, 612054, 612055, 612056, 612422, 612531, 612533",,"""-372, -423, -611226""","""-372, -423, -611226""","""-372, -423, -611226""","""-372, -423, -611226""","""-372, -423, -611226""","""-372, -423, -611226""","""-372, -423, -611226""","""-372, -423, -611226""","""-372, -423, -611226""","""-372, -423, -611226""","""-372, -423, -611226""","""-372, -423, -611226""","""-372, -423, -611226""","""-372, -423, -611226""","""-372, -423, -611226""","""-372, -423, -611226""","""-372, -423, -611226""","""-372, -423, -611226""","""-372, -423, -611226""","""-372, -423, -611226""","""-372, -423, -611226""","""-372, -423, -611226""","""-372, -423, -611226""","""-372, -423, -611226""",,,,,,,,,,,,,,,,,,,,,,,,,,
